path,size_bytes,sha256
.gitignore,44,a06c84655d505e035864ed79a4a88fdb74656364924cc47161d1fae9f8fd04b3
CITATION.cff,1028,9bb1e817cfe68cb11c65ddb5d5f876ef20bd20609f16ad8111a81185e82874c7
code/analysis/candidate_localization/04_pe_d2min_overlap_analysis.py,3154,3c8bac56128dbbaee8f43676ed2f04e4f59931309a1ed16804c4bd25e6a6e30c
code/analysis/cluster/01_damage_cluster_batch2.py,17781,4b138d8fd4c07bde616c16f6454c18d49b7aa9188d112d10fcb4875ff55f3211
code/analysis/DXA/run_fig7_stage1_dxa_pilot.py,28638,3f8a2ad9d1770f3ee3b2f365fa971b7350103ed9698d3ed89af2e40d0754df5a
code/analysis/mechanical/audit_sigma15_grid_f50.py,9523,65716d9af1c58114ebd865c16c9ae0c3d94af87de3f9a0ca9bb7b948a9e61147
code/analysis/mechanical/extract_mechanical_metrics.py,8354,85b1114b42a46b254fc51c8f2b9007c123a8be8926e2d78d9dec15015572fb00
code/analysis/mechanical/extract_n3_metrics_local.py,12533,959d8d6c0ed072ddd16ec0895581b90f80574ac664137acea2314e24c77e8ece
code/analysis/mechanical/f50_contract.py,3553,4510e906cd040046f54cedc38053cb1cf251f17714bcda119e6afb3be58b1361
code/analysis/plotting/export_fig5.py,1046,8bb65bf3c40dd136d9b6da3957def2e5ebf74e1133373ae4b1a479deb1362e3e
code/analysis/plotting/Fig1_R2_rebuild_source.py,10530,966e20d3c106c7f7186453b1801db25fe1818f59abee15392b7a35356f1166d8
code/analysis/plotting/Fig2_n3_build.py,12339,408a6b5a60800dac8118465db54d98651faed285d00d50080c92d5ebf0ef0492
code/analysis/plotting/Fig3_panel_g_replot_script.py,164,bb2de018c0536f4e79653b7b5ef35c9e0ade3be6d468c038f61022893689e509
code/analysis/plotting/Fig4_panel_g_replot_script.py,164,bb2de018c0536f4e79653b7b5ef35c9e0ade3be6d468c038f61022893689e509
code/analysis/plotting/Fig6_quant_replot_script.py,660,91262a6b40125f494ca671df4bc72efc4ac81db06d40b557df77778ffd82899a
code/analysis/plotting/Fig7_quant_replot_script.py,660,061a2bc7ccfbc451472ea41df653c5f6923e8b9439e8850939334b46c1c336bc
code/analysis/PTM/extract_fig6_stage2A_dense_metric.py,6644,8a5a85cfc4ffde47b8777ee4e46a78255634497315c6ff20275a782178baf885
code/analysis/PTM/render_fig6_stage2A_schemeA_50A.py,6810,456b63c6af574bfc14a73bed412555baecb093b22a215a4faf753cd40af08150
code/analysis/SCRIPT_INDEX.csv,2873,11578e16933671b2c1916d9291f18e866384554f429566f28ab885b051bcf393
code/analysis/SCRIPT_INDEX.md,2855,d10ddf5bb6f912746616500cf648847e703d3944753a29846dee0af13f83aed7
code/model_construction/M4_RATIO/01_design_ratio_geometry.py,6470,a14ad19eebd34e8c5817eb522a6a886c6ff45d84216e8e9922e9c673cae0f3a1
code/model_construction/M4_RATIO/02_build_M4_SYM_RATIO_atomsk.py,16153,b1fb0e9e6152505684bfb4688a9d28721a6cb8abdc37641cd93b6349e4d7cec1
code/model_construction/M4_RATIO/_m4_sym_ratio_utils.py,16141,20c0e1b2923963ec805f0a96d1dfb951b9d2710b8d38084a9df6959f7ca35905
code/model_construction/M4_RATIO/build_main_models.py,21083,eb7af4769912e19713d60403e1fd1e560da19abb7fd640905ad81d03d45df0d5
code/SCRIPT_INDEX.md,2855,d10ddf5bb6f912746616500cf648847e703d3944753a29846dee0af13f83aed7
DATA_AVAILABILITY_STATEMENT.md,1145,d145d128dcede6cd3eddf140f034c2c59754c2eaadae7dc752f0e39db11ba8df
DATA_SCOPE.md,1378,d31259e3dc4871456ef9eaf24e7d073917da7a0c2dbf09fa1adc84d445e19ab2
figure_source_data/Fig1/lightweight_raw_metadata/Fig1_source_manifest.md,1389,989da83a6933342b03edb800d26d16137ce72faa03c36896225bf27112b97ace
figure_source_data/Fig1/lightweight_raw_metadata/Fig1_v2_1_micro_polish.ovito,38993,bc2a2f3a97dcdec5bf85f97a6c58ddeefeaaaefdf59f17f218f7dca901458bc9
figure_source_data/Fig1/lightweight_raw_metadata/MODEL_DATA_LOCATION.md,162,53d8a0a4948fe59e44e085118849e8d8f08ab2265efac69d986a76d944a54c90
figure_source_data/Fig1/lightweight_raw_metadata/render_metadata_v2.json,5088,959f0d3c26aca14b69ce3a4a344a4d12bf9aa19540fd6fa63f41b3447f8114e5
figure_source_data/Fig1/plot_scripts/Fig1_R2_ovito_render.py,10188,20d934a5eae2ecacb7c4c6ab7b134facf43fa2c1fa500fe565db0b3b36c84e69
figure_source_data/Fig1/plot_scripts/Fig1_R2_rebuild_source.py,10530,966e20d3c106c7f7186453b1801db25fe1818f59abee15392b7a35356f1166d8
figure_source_data/Fig1/processed_data/Fig1_model_metadata.csv,1124,3825696e15c563e135e134d9aabd41da328a61e54c20cd1f085532e7329f6f52
figure_source_data/Fig1/README.md,197,ea773b2375f4a78c5868771080bde88e97203aba45b3a65e0f07e4a991543ce9
figure_source_data/Fig2/plot_scripts/Fig2_n3_build.py,12339,408a6b5a60800dac8118465db54d98651faed285d00d50080c92d5ebf0ef0492
figure_source_data/Fig2/processed_data/Fig2_n3_source_manifest.csv,3330,18b880d845e7ed7fba0808d98878e990b5fb9a362637c4782e98ec5b49b035e0
figure_source_data/Fig2/processed_data/Fig2_n3_summary_values.csv,1584,21e96d1ce2759cf99d04808d8fe02fce9b6fde08b5f9027ddcf161b461604a02
figure_source_data/Fig2/README.md,197,cd440e7c328b22cab9b54153877d52a5d01c22599a35b794a78390160eaf46be
figure_source_data/Fig3/lightweight_raw_metadata/Fig3_extraction_manifest.json,1832,581b899969449f0be4b14778cba63e3917a98f7384504ac3b9b2dab77c0f3360
figure_source_data/Fig3/plot_scripts/Fig3_panel_g_replot_script.py,164,bb2de018c0536f4e79653b7b5ef35c9e0ade3be6d468c038f61022893689e509
figure_source_data/Fig3/processed_data/Fig3_overlap_metric_data.csv,17701,e4bf20214075d5eee67e2ef63917e839b2d2f5fb85983e4b763cb86bc50f6643
figure_source_data/Fig3/processed_data/Fig3_panel_g_replot_source.csv,7803,b43fdf50f0786fc74adbc5a7ef112944bf2b1a766cc1258dd95baa74e9173d02
figure_source_data/Fig3/processed_data/Fig3_snapshot_manifest.csv,3086,9feb853cda20be4d6a59362351d6485437b0e56549e842c540580f70cc5b25f7
figure_source_data/Fig3/README.md,197,45172196e6e2521cdc21d1c2e09498f5f0838764591b29433c1bb9fdee281947
figure_source_data/Fig4/lightweight_raw_metadata/Fig4_source_data_manifest.json,1646,405808779b7253cac18e7e4178ef299010865259cbad9d9cb8d23831cde77c51
figure_source_data/Fig4/plot_scripts/Fig4_panel_g_replot_script.py,164,bb2de018c0536f4e79653b7b5ef35c9e0ade3be6d468c038f61022893689e509
figure_source_data/Fig4/processed_data/Fig4_metric_data_final.csv,42234,7299d583c5ac249d2c3ab6fe5659bcdc3bcddd44c00bfa8ba2aba40a04235772
figure_source_data/Fig4/processed_data/Fig4_panel_g_replot_source.csv,18493,50fd92b360dee38d0c01fc4e981d4a66d79e56cd6372dc5853da77a73220471b
figure_source_data/Fig4/processed_data/Fig4_snapshot_manifest_final.csv,2241,dac5268638d50f12ea2bbde234e9b7d36c1cd31281990a5db13fc56f9e655f19
figure_source_data/Fig4/README.md,197,368feb78d60182821e53384cc51dda62195f8b491b4ef1812c3c2d16fd35bc3c
figure_source_data/Fig5/lightweight_raw_metadata/Fig5_n3_editable_source.svg,32863,75cdca4e8742d7f01e2f18380fed674942cb55bc8efb0f6f0a4e17a041bd31d0
figure_source_data/Fig5/lightweight_raw_metadata/FIG5_UPDATE_AUDIT.md,581,6a66218c42f8860355d180a45c596605144be8f989e69a5fcc83c6576278b42a
figure_source_data/Fig5/plot_scripts/export_fig5.py,1046,8bb65bf3c40dd136d9b6da3957def2e5ebf74e1133373ae4b1a479deb1362e3e
figure_source_data/Fig5/processed_data/Fig3_overlap_metric_data.csv,17701,e4bf20214075d5eee67e2ef63917e839b2d2f5fb85983e4b763cb86bc50f6643
