model,frame_label,frame_index,engineering_strain_pct,selected_matrix_atom_count,selected_cu_al_matrix_atom_count,high_d2min_count,high_deltaPE_count,overlap_count,overlap_fraction_pct,cu_al_high_d2min_count,cu_al_high_deltaPE_count,cu_al_overlap_count,cu_al_overlap_fraction_pct,threshold_scheme,d2min_threshold_value,deltaPE_threshold_value,selection_region_note,snapshot_used_in_main_figure
M3_SYM,dense,130,13,124128,276832,0,8643,0,0,1,9013,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,140,14,124128,276832,7,17100,1,0.00080562001,7,17458,1,0.00036122992,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,15,150,15,124128,276832,87,26527,19,0.01530678,87,27010,19,0.0068633684,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M3_SYM,dense,160,16,124128,276832,855,36685,280,0.2255736,856,37329,280,0.10114438,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,170,17,124128,276832,4491,48490,1837,1.4799239,4492,49158,1837,0.66357935,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,180,18,124128,276832,13179,61465,6757,5.4435744,13180,62225,6757,2.4408305,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,190,19,124128,276832,28224,46303,11931,9.6118523,28224,46714,11931,4.3098341,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,F50,192,19.2,124128,276832,36324,10204,6595,5.3130639,36324,10287,6595,2.3823113,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M3_SYM,dense,200,20,124128,276832,49843,13047,8868,7.1442382,49844,13253,8868,3.2033869,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_RATIO,dense,130,13,124128,275684,46,13471,7,0.00563934,46,13951,7,0.002539139,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_RATIO,dense,140,14,124128,275684,297,20338,42,0.03383604,297,20925,42,0.015234834,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_RATIO,15,150,15,124128,275684,1562,29085,392,0.31580304,1562,29770,392,0.14219178,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M4_RATIO,dense,160,16,124128,275684,5633,40626,1929,1.554041,5633,41398,1929,0.69971417,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_RATIO,dense,170,17,124128,275684,14430,54260,6603,5.3195089,14430,55156,6603,2.3951336,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_RATIO,F50,180,18,124128,275684,37584,10219,7013,5.6498131,37584,10236,7013,2.5438546,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M4_RATIO,dense,190,19,124128,275684,51660,11622,8506,6.8526038,51660,11699,8506,3.0854166,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_RATIO,dense,200,20,124128,275684,60719,11929,9481,7.6380833,60719,12039,9481,3.4390824,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_SYM,dense,130,13,124128,275684,0,9653,0,0,0,10114,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_SYM,dense,140,14,124128,275684,7,19906,1,0.00080562001,7,20445,1,0.00036273414,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_SYM,15,150,15,124128,275684,50,32739,14,0.01127868,50,33314,14,0.005078278,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M4_SYM,dense,160,16,124128,275684,433,45936,162,0.13051044,433,46600,162,0.058762931,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_SYM,dense,170,17,124128,275684,2428,60250,1268,1.0215262,2428,61090,1268,0.4599469,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_SYM,F50,177,17.7,124128,275684,12475,10585,4193,3.3779647,12475,10649,4193,1.5209443,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M4_SYM,dense,180,18,124128,275684,22138,11229,6451,5.1970547,22138,11763,6451,2.339998,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_SYM,dense,190,19,124128,275684,30169,13017,7397,5.9591712,30169,13231,7397,2.6831445,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M4_SYM,dense,200,20,124128,275684,36901,12538,7845,6.3200889,36901,12657,7845,2.8456494,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
