model,frame_label,frame_index,engineering_strain_pct,selected_al_matrix_atom_count,overlap_candidate_count,largest_full3d_cluster_count,full3d_component_count,largest_candidate_cluster_fraction_pct,largest_cluster_fraction_of_candidates_pct,cluster_cutoff_A,sensitivity_json,metric_definition,threshold_scheme,d2min_threshold_value,deltaPE_threshold_value,source_note
M3_SYM,0,0,0,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,10,1,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,20,2,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,30,3,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,40,4,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,50,5,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,60,6,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,70,7,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,80,8,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,90,9,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,100,10,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
M3_SYM,dense,110,11,124128,0,0,0,0,0,4.0,"{""3.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""4.5A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}, ""5.0A"": {""component_count"": 0, ""largest_cluster_count"": 0, ""top5"": []}}",largest full-3D overlap-derived candidate cluster atoms / selected Al-matrix atom count x 100,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,formal full-3D connected components; snapshots are slab/projection views
