model,frame_label,frame_index,engineering_strain_pct,selected_matrix_atom_count,selected_cu_al_matrix_atom_count,high_d2min_count,high_deltaPE_count,overlap_count,overlap_fraction_pct,cu_al_high_d2min_count,cu_al_high_deltaPE_count,cu_al_overlap_count,cu_al_overlap_fraction_pct,threshold_scheme,d2min_threshold_value,deltaPE_threshold_value,selection_region_note,snapshot_used_in_main_figure
M3_SYM,0,0,0,124128,276832,0,0,0,0,0,0,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M3_SYM,dense,10,1,124128,276832,0,56,0,0,0,88,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,20,2,124128,276832,0,57,0,0,0,96,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,30,3,124128,276832,0,76,0,0,0,118,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,40,4,124128,276832,0,106,0,0,0,164,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,50,5,124128,276832,0,115,0,0,0,180,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,60,6,124128,276832,0,214,0,0,0,308,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,70,7,124128,276832,0,364,0,0,0,482,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,80,8,124128,276832,0,472,0,0,0,622,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,90,9,124128,276832,0,868,0,0,0,1081,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,100,10,124128,276832,0,1392,0,0,0,1604,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,110,11,124128,276832,0,2420,0,0,0,2645,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,120,12,124128,276832,0,4490,0,0,0,4759,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,130,13,124128,276832,0,8643,0,0,1,9013,0,0,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,140,14,124128,276832,7,17100,1,0.00080562001,7,17458,1,0.00036122992,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,15,150,15,124128,276832,87,26527,19,0.01530678,87,27010,19,0.0068633684,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
M3_SYM,dense,160,16,124128,276832,855,36685,280,0.2255736,856,37329,280,0.10114438,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,170,17,124128,276832,4491,48490,1837,1.4799239,4492,49158,1837,0.66357935,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,180,18,124128,276832,13179,61465,6757,5.4435744,13180,62225,6757,2.4408305,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,dense,190,19,124128,276832,28224,46303,11931,9.6118523,28224,46714,11931,4.3098341,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,no
M3_SYM,F50,192,19.2,124128,276832,36324,10204,6595,5.3130639,36324,10287,6595,2.3823113,"four-model global P95, 10 A region-band source tables",1420.90587525,0.19979,construction-source central Al matrix layer; Cu matrix and IMC atoms excluded from the main Fig. 3 localization metric,yes
