Model,Stage,Public_file,SHA256,Content_status
M3_SYM,minimization,inputs/M3_SYM/minimization.lmp,5f5df39ba6ac208e3043b68f7ff7f9e78c8c5599b53f3b6eb1cce1cba436f3c1,UNMODIFIED
M3_SYM,equilibration_300K_NPT_NVT,inputs/M3_SYM/equilibration_300K_NPT_NVT.lmp,23aa5c58687d2706578ec91a980699e250b819211b76a5d074a5d5a765b4d6bc,UNMODIFIED
M3_SYM,tension,inputs/M3_SYM/tension.lmp,152252ab49fc8c1f72771fa8a214c384a2a2b5b672e525463982986429dfae7f,UNMODIFIED
M4_RATIO,minimization,inputs/M4_RATIO/minimization.lmp,7bfd287ea74b14ee17adf899b47d4b0f09fa6efba31b1cd17b17dde034e08dcf,UNMODIFIED
M4_RATIO,equilibration_300K_NPT_NVT,inputs/M4_RATIO/equilibration_300K_NPT_NVT.lmp,b1c4e8eab7734b274d73acf968577743a75d0c683f4f5f95c8a268f3dec46a79,UNMODIFIED
M4_RATIO,tension,inputs/M4_RATIO/tension.lmp,ead662a79a8956c6df45057066fe989a816b404325ee189c3756e412b732d915,UNMODIFIED
M4_SYM,minimization,inputs/M4_SYM/minimization.lmp,480bc1da422bd9d048158f0fbc3145dd523f5ed4f3e72174ece35247067dad8a,UNMODIFIED
M4_SYM,equilibration_300K_NPT_NVT,inputs/M4_SYM/equilibration_300K_NPT_NVT.lmp,f9b8945230a2417528e3f32d8f41fc8e44f6ce50d127df729181945fcd6427a0,UNMODIFIED
M4_SYM,tension,inputs/M4_SYM/tension.lmp,80550b9fea10b4d9405aaadfa6bd4da59b0ebe5a99b503752f054a5706bcf4f6,UNMODIFIED
M4_LIT,minimization,inputs/M4_LIT/minimization.lmp,c9fbb8f505ec87a85f65d4b3f9ec1475e1eabe050ba8ec4a10fb51c0f776949f,UNMODIFIED
M4_LIT,equilibration_300K,inputs/M4_LIT/equilibration_300K.lmp,1471a592407c1aa1e1002d35c2addef2208df9257dbd1b71cd268b026bb3a53a,UNMODIFIED
M4_LIT,tension,inputs/M4_LIT/tension.lmp,b37322975d55a53dfefc50232da85cd15eff285f9089f663bcb9a1afd2911e9f,UNMODIFIED
CONTROLLED_N3,equilibration_and_tension,inputs/production/independent_seed_equilibration_tension.lmp,f1e02f9a7161943d5defa8d73568320854cc3db5df192eb155b69b44b124d3cd,UNMODIFIED
