model,state,actual_strain_percent,sigma_yy_GPa_minus_Pyy,sigma_zz_GPa_minus_Pzz,ly_A,lz_A,status
M3_SYM,initial,-0.00,-0.0051,-0.0322,146.684435,317.235958,DESCRIPTIVE_NOT_CONTROLLED
M3_SYM,15%,15.00,7.2455,7.3042,146.684435,317.235958,DESCRIPTIVE_NOT_CONTROLLED
M3_SYM,raw F₅₀,19.20,3.9879,3.7550,146.684435,317.235958,DESCRIPTIVE_NOT_CONTROLLED
M4_RATIO,initial,0.00,-0.0267,0.0081,145.583297,331.604609,DESCRIPTIVE_NOT_CONTROLLED
M4_RATIO,15%,15.00,7.5054,7.5405,145.583297,331.604609,DESCRIPTIVE_NOT_CONTROLLED
M4_RATIO,raw F₅₀,17.98,4.0414,3.5955,145.583297,331.604609,DESCRIPTIVE_NOT_CONTROLLED
M4_SYM,initial,0.00,0.1608,0.2319,145.828595,328.213741,DESCRIPTIVE_NOT_CONTROLLED
M4_SYM,15%,15.00,7.6157,7.6372,145.828595,328.213741,DESCRIPTIVE_NOT_CONTROLLED
M4_SYM,raw F₅₀,17.74,3.9386,3.6703,145.828595,328.213741,DESCRIPTIVE_NOT_CONTROLLED
M4_LIT,initial,0.00,0.3062,-0.2166,147.981871,251.731101,DESCRIPTIVE_NOT_CONTROLLED
M4_LIT,15%,15.00,7.2632,7.3163,147.981871,251.731101,DESCRIPTIVE_NOT_CONTROLLED
M4_LIT,raw F₅₀,18.66,3.7754,3.4493,147.981871,251.731101,DESCRIPTIVE_NOT_CONTROLLED
